Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
47.4,-160,-106,-54.49,-81.74,-81.74,0.00
47.5,-160,-106,-54.49,-81.74,-81.74,0.00
47.6,-160,-106,-54.49,-81.74,-81.74,0.00
47.7,-160,-107,-52.73,-81.74,-79.10,0.00
47.8,-160,-106,-54.49,-79.10,-81.74,0.00
47.9,-160,-106,-54.49,-81.74,-81.74,0.00
48.0,-160,-106,-54.49,-81.74,-81.74,0.00
48.2,-160,-107,-52.73,-81.74,-79.10,0.00
48.3,-160,-106,-54.49,-79.10,-81.74,0.00
48.4,-160,-106,-54.49,-81.74,-81.74,0.00
48.5,-160,-106,-54.49,-81.74,-81.74,0.00
48.6,-160,-107,-52.73,-81.74,-79.10,0.00
48.7,-160,-106,-54.49,-79.10,-81.74,0.00
48.8,-160,-106,-54.49,-81.74,-81.74,0.00
49.0,-160,-107,-52.73,-81.74,-79.10,0.00
49.1,-160,-106,-54.49,-79.10,-81.74,0.00
49.2,-160,-106,-54.49,-81.74,-81.74,0.00
49.3,-160,-106,-54.49,-81.74,-81.74,0.00
49.4,-160,-106,-54.49,-81.74,-81.74,0.00
49.5,-160,-107,-52.73,-81.74,-79.10,0.00
49.7,-160,-106,-54.49,-79.10,-81.74,0.00
49.8,-160,-106,-54.49,-81.74,-81.74,0.00
49.9,-160,-104,-56.25,-81.74,-84.37,0.00
50.0,-160,-106,-54.49,-84.37,-81.74,0.00
50.1,-160,-107,-52.73,-81.74,-79.10,0.00
50.2,-160,-106,-54.49,-79.10,-81.74,0.00
50.3,-160,-106,-54.49,-81.74,-81.74,0.00
50.5,-160,-106,-54.49,-81.74,-81.74,0.00
50.6,-160,-106,-54.49,-81.74,-81.74,0.00
50.7,-160,-106,-54.49,-81.74,-81.74,0.00
50.8,-160,-107,-52.73,-81.74,-79.10,0.00
50.9,-160,-106,-54.49,-79.10,-81.74,0.00
51.0,-160,-107,-52.73,-81.74,-79.10,0.00
51.1,-160,-106,-54.49,-79.10,-81.74,0.00
51.3,-160,-106,-54.49,-81.74,-81.74,0.00
51.4,-160,-106,-54.49,-81.74,-81.74,0.00
51.5,-160,-106,-54.49,-81.74,-81.74,0.00
51.6,-160,-107,-52.73,-81.74,-79.10,0.00
51.7,-160,-106,-54.49,-79.10,-81.74,0.00
51.8,-160,-106,-54.49,-81.74,-81.74,0.00
51.9,-160,-104,-56.25,-81.74,-84.37,0.00
52.1,-160,-106,-54.49,-84.37,-81.74,0.00
52.2,-160,-107,-52.73,-81.74,-79.10,0.00
52.3,-160,-106,-54.49,-79.10,-81.74,0.00
52.4,-160,-106,-54.49,-81.74,-81.74,0.00
