Tempo: 14.5s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 14.6s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 14.7s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 14.8s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 14.9s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 15.0s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 15.1s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 15.3s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 15.4s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 15.5s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 15.6s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 15.7s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 15.8s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 15.9s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 16.0s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 16.1s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 16.2s,Setpoint: 160 RPM,,Vel.: 86 RPM,erro: 73.83 RPM,,Controle: 72.83,AcaoP: 73.83,AcaoI: 0.00
Tempo: 16.3s,Setpoint: 160 RPM,,Vel.: 86 RPM,erro: 73.83 RPM,,Controle: 73.83,AcaoP: 73.83,AcaoI: 0.00
Tempo: 16.4s,Setpoint: 160 RPM,,Vel.: 86 RPM,erro: 73.83 RPM,,Controle: 73.83,AcaoP: 73.83,AcaoI: 0.00
Tempo: 16.6s,Setpoint: 160 RPM,,Vel.: 88 RPM,erro: 72.08 RPM,,Controle: 73.83,AcaoP: 72.08,AcaoI: 0.00
Tempo: 16.7s,Setpoint: 160 RPM,,Vel.: 86 RPM,erro: 73.83 RPM,,Controle: 72.08,AcaoP: 73.83,AcaoI: 0.00
Tempo: 16.8s,Setpoint: 160 RPM,,Vel.: 88 RPM,erro: 72.08 RPM,,Controle: 73.83,AcaoP: 72.08,AcaoI: 0.00
Tempo: 16.9s,Setpoint: 160 RPM,,Vel.: 88 RPM,erro: 72.08 RPM,,Controle: 72.08,AcaoP: 72.08,AcaoI: 0.00
Tempo: 17.0s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.08,AcaoP: 72.83,AcaoI: 0.00
Tempo: 17.1s,Setpoint: 159 RPM,,Vel.: 88 RPM,erro: 71.08 RPM,,Controle: 72.83,AcaoP: 71.08,AcaoI: 0.00
Tempo: 17.2s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 71.08,AcaoP: 72.83,AcaoI: 0.00
Tempo: 17.3s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 17.4s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 17.5s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 17.6s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 74.59,AcaoP: 74.59,AcaoI: 0.00
Tempo: 17.7s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 74.59,AcaoP: 74.59,AcaoI: 0.00
Tempo: 17.9s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 74.59,AcaoP: 74.59,AcaoI: 0.00
Tempo: 18.0s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 18.1s,Setpoint: 159 RPM,,Vel.: 88 RPM,erro: 71.08 RPM,,Controle: 72.83,AcaoP: 71.08,AcaoI: 0.00
Tempo: 18.2s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 71.08,AcaoP: 72.83,AcaoI: 0.00
Tempo: 18.3s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 18.4s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 18.5s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 18.6s,Setpoint: 159 RPM,,Vel.: 88 RPM,erro: 71.08 RPM,,Controle: 72.83,AcaoP: 71.08,AcaoI: 0.00
Tempo: 18.7s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 71.08,AcaoP: 72.83,AcaoI: 0.00
Tempo: 18.8s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 18.9s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 19.0s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 19.2s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 19.3s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 19.4s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 19.5s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 19.6s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 19.7s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 19.8s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 19.9s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 20.0s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 20.1s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 20.2s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 20.3s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 74.59,AcaoP: 74.59,AcaoI: 0.00
Tempo: 20.5s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
