Tempo: 14.62s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 14.72s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
Tempo: 14.82s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 14.92s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 15.02s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
Tempo: 15.12s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 15.22s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 15.32s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 15.42s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 15.52s	Velocidade angular do Motor: -178 RPM	PWM: 254.00	 Pulsos por periodo: -101
Tempo: 15.62s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 15.72s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 15.82s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 15.92s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 16.02s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 16.12s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 16.22s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 16.32s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 16.42s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 16.52s	Velocidade angular do Motor: -176 RPM	PWM: 253.00	 Pulsos por periodo: -100
Tempo: 16.62s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 16.72s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 16.82s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 16.92s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 17.02s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 17.12s	Velocidade angular do Motor: -174 RPM	PWM: 250.00	 Pulsos por periodo: -99
Tempo: 17.22s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 17.32s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 17.42s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
Tempo: 17.52s	Velocidade angular do Motor: -179 RPM	PWM: 249.00	 Pulsos por periodo: -102
Tempo: 17.62s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 17.72s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
