Tempo: 14.2s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 14.3s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 14.4s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.07	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 14.5s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -59.07	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 14.7s	Setpoint: -160 RPM		Vel.: -88 RPM	erro: -72.08 RPM		Controle: -60.49	AcaoP: -57.66	AcaoI: 0.00	 AcaoD: 0.03
Tempo: 14.8s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -57.63	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 14.9s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -59.08	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.0s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -59.07	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: -0.01
Tempo: 15.2s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -60.49	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.3s	Setpoint: -160 RPM		Vel.: -84 RPM	erro: -75.59 RPM		Controle: -60.47	AcaoP: -60.47	AcaoI: 0.00	 AcaoD: 0.00
Tempo: 15.4s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -60.47	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: 0.01
Tempo: 15.6s	Setpoint: -160 RPM		Vel.: -88 RPM	erro: -72.08 RPM		Controle: -59.05	AcaoP: -57.66	AcaoI: 0.00	 AcaoD: 0.01
Tempo: 15.7s	Setpoint: -160 RPM		Vel.: -86 RPM	erro: -73.83 RPM		Controle: -57.65	AcaoP: -59.07	AcaoI: 0.00	 AcaoD: -0.01
